sample_id,method,true_species,correct,high_energy_overlap,low_energy_overlap,clip_border_overlap
000186_seg01_spinner_dolphin_test_0_000237,lime,Spinner Dolphin,True,0.2768591803150223,0.6010500744455763,0.06872502155003526
000186_seg01_spinner_dolphin_test_0_000237,saliency,Spinner Dolphin,True,0.6380465046278877,0.07148769659116562,0.1457596508390398
000186_seg01_spinner_dolphin_test_0_000237,smoothgrad,Spinner Dolphin,True,0.5942622950819673,0.12704918032786885,0.10443230115361263
000186_seg01_spinner_dolphin_test_0_000237,input_x_gradient,Spinner Dolphin,True,0.678962962962963,0.03711111111111111,0.1451111111111111
000186_seg01_spinner_dolphin_test_0_000237,guided_backprop,Spinner Dolphin,True,0.5545700541190619,0.18761274804570055,0.13356885147324113
000186_seg00_spinner_dolphin_test_0_000237,gradcam,Spinner Dolphin,True,0.505194095133953,0.06404748886979614,0.11833164102163556
000186_seg00_spinner_dolphin_test_0_000237,integrated_gradients,Spinner Dolphin,True,0.666131007040098,0.04071013161922253,0.15151515151515152
000186_seg00_spinner_dolphin_test_0_000237,occlusion,Spinner Dolphin,True,0.5745698634364632,0.04513540621865597,0.16287323508988505
000186_seg00_spinner_dolphin_test_0_000237,lime,Spinner Dolphin,True,0.2768591803150223,0.6010500744455763,0.06872502155003526
000186_seg00_spinner_dolphin_test_0_000237,saliency,Spinner Dolphin,True,0.6380465046278877,0.07148769659116562,0.1457596508390398
000186_seg00_spinner_dolphin_test_0_000237,smoothgrad,Spinner Dolphin,True,0.5942622950819673,0.12704918032786885,0.10443230115361263
000186_seg00_spinner_dolphin_test_0_000237,input_x_gradient,Spinner Dolphin,True,0.678962962962963,0.03711111111111111,0.1451111111111111
000186_seg00_spinner_dolphin_test_0_000237,guided_backprop,Spinner Dolphin,True,0.5545700541190619,0.18761274804570055,0.13356885147324113
